short_descriptions,priority
Unlock user access,2 - Normal
Unlock user access,2 - Normal
Please grant access to roles for TPM approvals,2 - Normal
george@capital-forklift.ru,2 - Normal
IT - 3PL user password reset,1 - Urgent
RS - Request for SAP authorizations,2 - Normal
please modify the user in template,2 - Normal
CZ - Redirect mail ,2 - Normal
GR - OOS Performance Management Tool ,2 - Normal
MK - Request to whitelist domain,1 - Urgent
GR - Xtel access for user GR202395,1 - Urgent
GR - CRM access for user GR202395,1 - Urgent
 Wave 2,2 - Normal
Please grant access to Cadency Productive and Quality systems to user ASQ00741,2 - Normal
User access to BPM ,2 - Normal
CZ -  No authorization to maintain Pension/handcap 0 exists - transaction PA61 / INC0921205,1 - Urgent
Approval access BNK_APP (role),2 - Normal
 Wave 2,2 - Normal
Power BI Pro approvers,1 - Urgent
HR - Add user to shared mailbox,2 - Normal
GR - Line Transfer,2 - Normal
Access to CCR's Auditors,2 - Normal
GR - Special Pc  GR00023150,1 - Urgent
Please assign me to group G SNOW REPORT ADMINS,2 - Normal
Rename sales district,2 - Normal
CY - SAP Accesss Roles,1 - Urgent
AirWatch,2 - Normal
HU - Hu008771 no access for SAP ad-hoc query,1 - Urgent
CZ  -   OOS Performance Tool - Authorization,1 - Urgent
NG - Access Clean Up,1 - Urgent
BT- Rename meeting room's for new Tallinn office,2 - Normal
XML Load for advance contracts p.08 2020,1 - Urgent
Surveys to be Updated,2 - Normal
BSR - MTC - Create/ Change access - License,1 - Urgent
SFO FTP access for ROQ01610 in /RO/2605175650,2 - Normal
TCCC Data sharing July Actuals for NSR ,1 - Urgent
 Wave 2,2 - Normal
Update table T030H for the account 215110322,1 - Urgent
3060083 Chumak Vadim Q2 Quarterly Snapshot task release,2 - Normal
please add users to AD groups,2 - Normal
BT - Assign access to Tellimus Eesti mailbox,2 - Normal
UA000782 additional access,1 - Urgent
GR - BW FSM110 non volume Targets upload August '20,1 - Urgent
PL - Old items in inbox ,2 - Normal
 Wave 2,2 - Normal
PL CSC Lines 59,1 - Urgent
Office 365,2 - Normal
Internet Access,2 - Normal
GR - IW49N Access,2 - Normal
please change address of plant 3250,1 - Urgent
PL - room reservation question - INC0921213 ,2 - Normal
"BT - Add users to ""Baltic ServiceDesk""",2 - Normal
CZ  -   access ML81n,2 - Normal
CZ - Power BI access,1 - Urgent
CZ - Power BI access,1 - Urgent
Extend storage space,2 - Normal
Planon authorization for user BS000611,2 - Normal
SAP Quality and Test system access,1 - Urgent
HU - Missing account determination - Juice Var Pack,2 - Normal
 Wave 2,2 - Normal
 Wave 2,2 - Normal
0415_cumulative flow,2 - Normal
Related to - RITM1005977 ,2 - Normal
can we change extetion for the phone ,2 - Normal
CH - Survey Upload to Q and finally to P,2 - Normal
Change Approver,1 - Urgent
IT - 3PL user password reset,1 - Urgent
Office 365,2 - Normal
In continuation of INC0921420 please reset password,1 - Urgent
RS - Monthly BPMS Scorecard upload - July 2020,2 - Normal
 Wave 2,2 - Normal
Assign user Accesses to BPM-tool,1 - Urgent
CZSK DME OPEX Drivers Reload,1 - Urgent
Please provide access to CustomersProfitabilityReporting@cchellenic.com,2 - Normal
PL - room reservation question,2 - Normal
Remote Access,2 - Normal
Add Insite access to the user ,2 - Normal
Unblock user access to Wave 1,1 - Urgent
HU - role assign,2 - Normal
BSR - MTC - Create/ Change access - License,1 - Urgent
UA Chernigov connect bk  4G router,1 - Urgent
Please block the domain @capital-forklift.ru,2 - Normal
BT - SSF approver change,2 - Normal
Change in BP 2020 waste data for 2 plants,2 - Normal
CH - SAP Accesses same as User CH002943,2 - Normal
CH-Access required (HS3),2 - Normal
